Index,Name,Emergency,HLTPhysics+ZeroBias,2p3E34,2p2E34,2p1E34,2p0E34,2p0E34+ZeroBias+HLTPhysics,1p9E34,1p8E34,1p7E34,1p6E34,1p5E34,1p4E34,1p3E34,1p2E34,1p1E34,1p0E34,0p9E34,0p8E34,0p7E34,0p6E34,OnlyMuons
45,L1_SingleMu22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,L1_DoubleMu_12_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,L1_DoubleMu_15_7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,L1_DoubleMu8_SQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,L1_TripleMu_5_3_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,L1_TripleMu_5_5_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,L1_QuadMu0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,L1_DoubleMu4p5_SQ_OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,L1_DoubleMu0er1p5_SQ_dR_Max1p4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,L1_DoubleMu0er2p0_SQ_dR_Max1p4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,L1_DoubleMu4_SQ_OS_dR_Max1p2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,L1_DoubleMu4p5_SQ_OS_dR_Max1p2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,L1_SingleLooseIsoEG28er2p1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180,L1_SingleLooseIsoEG28er1p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182,L1_SingleLooseIsoEG30er1p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190,L1_SingleIsoEG28er2p1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,L1_SingleIsoEG28er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,L1_SingleIsoEG30er2p1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,L1_SingleIsoEG32er2p1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,L1_DoubleEG_LooseIso16_LooseIso12_er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,L1_DoubleEG_LooseIso18_LooseIso12_er1p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
